ORDER_ID,CUSTOMER_ID,RESTAURANT_ID,COUPON_ID,ORDER_TIMESTAMP,DELIVERY_FEE,SUB_TOTAL_AMOUNT,DISCOUNT_AMOUNT,COMMISSION_REVENUE,PAYMENT_PROCESSING_FEE,TOTAL_AMOUNT,ORDER_RATING
O0002996,C09252,R0155,,2025-10-06,51.26,2377.35,0.00,544.41,60.72,2428.61,1.42
O0002997,C09428,R0830,,2025-04-18,106.06,5779.72,0.00,1340.90,147.14,5885.78,1.09
O0002998,C02858,R0244,,2025-08-14,123.52,5976.11,0.00,1225.10,152.49,6099.63,2.64
O0002999,C01766,R0371,,2025-05-17,91.68,1214.53,0.00,281.77,32.66,1306.21,3.12
O0003000,C03188,R0581,,2025-05-23,145.39,345.94,0.00,117.97,12.28,491.33,3.53
O0003001,C01995,R0950,,2025-09-26,53.03,5498.13,0.00,1764.90,138.78,5551.16,4.64
O0003002,C05266,R0640,,2025-01-09,104.98,503.74,0.00,169.76,15.22,608.72,1.05
O0003003,C02215,R0529,,2025-05-17,91.98,4266.78,0.00,960.03,108.97,4358.76,
O0003004,C03124,R0893,,2025-03-25,35.33,602.88,0.00,209.20,15.96,638.21,2.54
O0003005,C08565,R0022,CP071,2025-07-23,38.96,4851.15,1455.34,1620.28,85.87,3434.77,1.20
O0003006,C08422,R0880,,2025-07-30,125.91,2136.41,0.00,621.70,56.56,2262.32,4.05
O0003007,C08445,R0418,,2024-11-18,114.63,1419.96,0.00,408.95,38.36,1534.59,
O0003008,C01554,R0177,,2025-10-20,45.43,546.22,0.00,185.17,14.79,591.65,3.92
O0003009,C09938,R0803,,2025-01-23,126.10,2852.31,0.00,929.85,74.46,2978.41,1.18
O0003010,C01103,R0751,,2024-12-09,133.95,3082.92,0.00,783.06,80.42,3216.87,2.88
O0003011,C02761,R0838,CP074,2025-04-27,131.62,1881.84,564.55,611.60,36.22,1448.91,2.12
O0003012,C07448,R0490,,2025-01-12,114.41,3203.59,0.00,897.01,82.95,3318.00,4.98
O0003013,C02173,R0650,,2025-10-13,140.26,1986.60,0.00,691.34,53.17,2126.86,2.19
O0003014,C07941,R0796,,2025-01-26,77.58,1973.30,0.00,398.61,51.27,2050.88,
O0003015,C08654,R0187,,2025-08-04,79.43,4485.11,0.00,1139.22,114.11,4564.54,
O0003016,C04498,R0153,,2025-03-05,110.90,3632.19,0.00,1155.04,93.58,3743.09,3.08
O0003017,C01368,R0300,,2024-11-29,66.13,3514.28,0.00,822.34,89.51,3580.41,1.28
O0003018,C01690,R0901,,2025-08-05,123.28,5522.43,0.00,1297.77,141.14,5645.71,4.95
O0003019,C08495,R0988,,2025-01-19,113.20,2505.68,0.00,801.82,65.47,2618.88,4.73
O0003020,C04209,R0296,,2025-05-12,116.98,2957.87,0.00,751.30,76.87,3074.85,3.33
O0003021,C02621,R0433,CP055,2025-01-20,120.90,2892.18,433.83,951.53,64.48,2579.25,
O0003022,C01964,R0177,,2025-06-10,111.74,1956.13,0.00,663.13,51.70,2067.87,2.34
O0003023,C02289,R0252,,2025-07-07,104.19,2799.48,0.00,674.67,72.59,2903.67,3.32
O0003024,C02550,R0145,,2025-06-27,107.88,2282.49,0.00,769.20,59.76,2390.37,4.71
O0003025,C04117,R0909,,2024-11-07,60.36,2820.68,0.00,978.78,72.03,2881.04,1.24
O0003026,C05073,R0720,,2024-11-18,112.05,3198.76,0.00,950.03,82.77,3310.81,1.16
O0003027,C07214,R0931,,2025-10-25,34.08,2952.19,0.00,667.19,74.66,2986.27,
O0003028,C04778,R0795,,2025-03-29,44.33,4392.36,0.00,1199.11,110.92,4436.69,3.20
O0003029,C02738,R0913,,2025-01-20,138.03,1967.92,0.00,413.26,52.65,2105.95,2.46
O0003030,C03217,R0141,,2025-10-16,105.29,942.63,0.00,225.29,26.20,1047.92,3.98
O0003031,C07203,R0586,,2025-07-26,101.53,4497.61,0.00,1475.22,114.98,4599.14,1.62
O0003032,C03073,R0055,,2024-12-16,112.64,1224.26,0.00,424.82,33.42,1336.90,1.82
O0003033,C02751,R0043,CP060,2025-10-25,114.45,4375.09,1312.53,1120.02,79.43,3177.01,1.08
O0003034,C07135,R0427,,2025-02-21,112.21,5599.67,0.00,1959.88,142.80,5711.88,1.66
O0003035,C04392,R0725,,2024-11-02,66.42,2309.76,0.00,625.94,59.40,2376.18,2.65
O0003036,C05882,R0148,,2025-10-18,125.78,404.54,0.00,106.80,13.26,530.32,1.10
O0003037,C09938,R0009,CP071,2025-02-02,91.67,6105.43,1831.63,2045.32,109.14,4365.47,
O0003038,C02831,R0062,,2025-07-15,127.63,4059.08,0.00,856.47,104.67,4186.71,4.79
O0003039,C04131,R0735,,2025-09-12,142.49,1772.87,0.00,599.23,47.88,1915.36,3.54
O0003040,C03265,R0853,,2025-10-22,65.90,3456.80,0.00,1130.37,88.07,3522.70,2.83
O0003041,C06740,R0693,,2025-09-19,122.70,4864.87,0.00,1493.52,124.69,4987.57,3.51
O0003042,C01194,R0970,,2025-03-09,91.81,7138.11,0.00,2055.78,180.75,7229.92,4.96
O0003043,C03323,R0254,,2025-01-08,134.41,5748.70,0.00,1218.72,147.08,5883.11,
O0003044,C06520,R0286,,2025-04-01,98.68,592.00,0.00,172.86,17.27,690.68,4.67
O0003045,C02721,R0396,,2025-09-18,122.88,2546.20,0.00,560.16,66.73,2669.08,2.76
O0003046,C07561,R0599,,2025-01-28,129.16,2376.00,0.00,615.38,62.63,2505.16,2.01
O0003047,C04047,R0131,,2025-03-25,78.79,4947.86,0.00,1405.19,125.67,5026.65,
O0003048,C02125,R0820,CP048,2025-10-23,56.87,1905.94,190.59,430.74,44.31,1772.22,
O0003049,C05124,R0065,CP047,2025-09-22,137.31,2474.69,371.20,631.05,56.02,2240.80,1.15
O0003050,C07891,R0614,,2025-04-06,30.13,3033.02,0.00,706.69,76.58,3063.15,1.46
O0003051,C05818,R0734,,2024-11-18,90.70,3797.22,0.00,1086.00,97.20,3887.92,2.00
O0003052,C01812,R0033,,2024-12-31,39.68,763.26,0.00,155.71,20.07,802.94,4.55
O0003053,C02178,R0969,,2024-12-26,46.07,2268.72,0.00,628.44,57.87,2314.79,1.45
O0003054,C05746,R0930,CP053,2025-06-21,73.68,406.43,60.96,119.49,10.48,419.15,3.77
O0003055,C07016,R0187,,2025-02-04,108.52,2915.79,0.00,740.61,75.61,3024.31,2.02
O0003056,C08383,R0893,,2025-06-30,84.59,1398.14,0.00,485.15,37.07,1482.73,1.16
O0003057,C02325,R0720,,2025-07-18,132.28,1424.18,0.00,422.98,38.91,1556.46,
O0003058,C09123,R0239,CP092,2025-02-09,41.69,4569.86,2284.93,1137.90,58.17,2326.62,2.02
O0003059,C04096,R0414,,2025-10-09,100.58,2381.65,0.00,793.09,62.06,2482.23,
O0003060,C08630,R0335,,2025-10-25,126.00,2122.66,0.00,624.06,56.22,2248.66,2.75
O0003061,C06574,R0300,,2025-04-14,122.87,4301.71,0.00,1006.60,110.61,4424.58,
O0003062,C03148,R0674,,2025-07-23,48.27,1079.81,0.00,217.04,28.20,1128.08,2.15
O0003063,C04020,R0768,CP027,2025-06-10,102.87,1934.47,967.23,473.95,26.75,1070.11,2.73
O0003064,C00903,R0511,,2025-08-03,104.68,2045.22,0.00,556.30,53.75,2149.90,3.19
O0003065,C03898,R0589,,2025-10-02,146.54,3720.08,0.00,1119.74,96.67,3866.62,2.14
O0003066,C02739,R0137,,2025-10-17,36.59,4318.68,0.00,1148.77,108.88,4355.27,2.34
O0003067,C01482,R0582,,2025-07-02,65.64,5236.63,0.00,1173.01,132.56,5302.27,3.74
O0003068,C06672,R0320,,2025-03-01,95.56,7403.89,0.00,1606.64,187.49,7499.45,2.39
O0003069,C09943,R0007,,2025-01-19,80.37,4412.82,0.00,1513.60,112.33,4493.19,3.04
O0003070,C04399,R0150,,2025-10-08,72.45,2287.65,0.00,798.39,59.00,2360.10,4.79
O0003071,C07252,R0053,CP011,2025-07-12,95.75,1153.06,172.96,353.99,26.90,1075.85,4.71
O0003072,C04461,R0708,,2025-08-14,113.86,5380.18,0.00,1167.50,137.35,5494.04,3.45
O0003073,C03779,R0047,CP076,2025-10-21,84.48,1296.73,648.36,426.62,18.32,732.85,2.96
O0003074,C05727,R0991,,2025-02-14,95.59,550.02,0.00,124.30,16.14,645.61,
O0003075,C08144,R0041,,2025-04-08,83.06,1969.66,0.00,437.26,51.32,2052.72,4.98
O0003076,C05154,R0891,,2025-07-27,48.94,636.31,0.00,138.72,17.13,685.25,
O0003077,C05888,R0497,,2024-11-04,60.20,1183.06,0.00,390.41,31.08,1243.26,4.44
O0003078,C08629,R0255,,2025-04-11,41.56,2233.63,0.00,531.60,56.88,2275.19,
O0003079,C08377,R0944,,2025-09-16,135.61,5090.29,0.00,1308.20,130.65,5225.90,
O0003080,C00983,R0609,,2025-04-10,49.61,742.64,0.00,191.60,19.81,792.25,
O0003081,C03138,R0397,,2025-03-27,102.70,5002.64,0.00,1030.54,127.63,5105.34,4.58
O0003082,C04758,R0341,,2025-02-16,59.99,4502.89,0.00,1355.37,114.07,4562.88,
O0003083,C04129,R0427,,2025-09-24,95.45,577.04,0.00,201.96,16.81,672.49,4.62
O0003084,C09212,R0232,,2025-10-16,147.59,1387.64,0.00,459.31,38.38,1535.23,
O0003085,C08575,R0957,CP076,2025-01-13,98.06,1879.31,939.65,618.29,25.94,1037.72,
O0003086,C08619,R0287,,2025-09-14,123.40,5995.84,0.00,1492.96,152.98,6119.24,
O0003087,C08297,R0522,,2025-08-30,138.69,3822.57,0.00,1307.32,99.03,3961.26,4.73
O0003088,C08570,R0888,,2025-05-09,117.79,3600.40,0.00,1062.12,92.95,3718.19,
O0003089,C05855,R0095,,2025-02-07,43.42,3915.22,0.00,974.89,98.97,3958.64,
O0003090,C06598,R0354,,2025-06-22,92.85,7568.34,0.00,1733.15,191.53,7661.19,
O0003091,C03749,R0926,CP052,2024-11-05,43.60,3126.76,1563.38,1063.10,40.17,1606.98,
O0003092,C09097,R0382,,2025-07-02,141.20,2992.65,0.00,864.88,78.35,3133.85,
O0003093,C08305,R0103,,2025-07-27,145.97,416.29,0.00,98.66,14.06,562.26,3.12
O0003094,C02206,R0996,,2025-04-03,85.94,3473.48,0.00,910.05,88.99,3559.42,2.95
O0003095,C09676,R0664,,2024-11-17,70.68,1242.99,0.00,270.97,32.84,1313.67,
O0003096,C03873,R0495,,2025-07-29,62.10,4262.01,0.00,1065.50,108.10,4324.11,3.99
O0003097,C02253,R0551,,2025-08-25,146.19,2911.91,0.00,733.80,76.45,3058.10,2.37
O0003098,C01102,R0688,,2025-04-24,149.20,2154.16,0.00,514.84,57.58,2303.36,2.34
O0003099,C05300,R0486,,2024-12-21,106.73,2680.78,0.00,629.98,69.69,2787.51,2.30
O0003100,C07125,R0792,,2025-07-16,48.83,1917.26,0.00,450.56,49.15,1966.09,2.23
O0003101,C09717,R0484,,2025-07-26,106.41,635.96,0.00,146.27,18.56,742.37,1.99
O0003102,C07978,R0530,CP024,2025-01-26,90.10,2258.81,564.70,594.07,44.61,1784.21,1.94
O0003103,C06420,R0966,,2024-11-28,31.92,2613.07,0.00,757.79,66.12,2644.99,3.03
O0003104,C00080,R0847,,2025-07-06,133.61,3067.13,0.00,874.13,80.02,3200.74,
O0003105,C00917,R0079,,2024-12-15,109.57,1172.42,0.00,329.45,32.05,1281.99,2.58
O0003106,C06774,R0709,,2024-12-15,50.98,1394.40,0.00,449.00,36.13,1445.38,1.63
O0003107,C07497,R0170,CP045,2025-01-01,69.76,2831.74,707.94,620.15,54.84,2193.56,2.43
O0003108,C03192,R0189,,2025-10-17,144.98,2615.84,0.00,523.17,69.02,2760.82,4.29
O0003109,C00371,R0842,,2025-09-04,74.30,2689.17,0.00,744.90,69.09,2763.47,4.13
O0003110,C05964,R0477,,2025-05-09,72.32,6360.94,0.00,1742.90,160.83,6433.26,3.86
O0003111,C06707,R0906,,2024-11-26,97.35,1642.29,0.00,514.04,43.49,1739.64,
O0003112,C06724,R0461,CP047,2025-01-11,104.55,3652.87,547.93,1201.79,80.24,3209.49,4.57
O0003113,C02433,R0916,,2025-05-28,101.98,3801.02,0.00,805.82,97.58,3903.00,4.35
O0003114,C03866,R0095,,2025-03-08,129.71,2245.66,0.00,559.17,59.38,2375.37,
O0003115,C02151,R0265,,2025-01-04,143.52,869.01,0.00,205.96,25.31,1012.53,3.13
O0003116,C04497,R0370,,2025-08-15,111.88,4350.14,0.00,1518.20,111.55,4462.02,3.75
O0003117,C03333,R0834,CP022,2025-02-08,108.60,575.54,57.55,141.01,15.66,626.59,4.93
O0003118,C05149,R0126,,2025-07-23,115.32,4704.81,0.00,1439.67,120.50,4820.13,1.11
O0003119,C02637,R0886,CP048,2025-08-05,53.06,1227.50,122.75,397.71,28.95,1157.81,3.85
O0003120,C08002,R0230,,2025-10-28,64.33,3052.95,0.00,980.00,77.93,3117.28,2.23
O0003121,C09031,R0055,,2025-07-28,68.67,4550.32,0.00,1578.96,115.47,4618.99,1.73
O0003122,C06835,R0264,,2025-04-04,44.00,2202.34,0.00,513.15,56.16,2246.34,1.73
O0003123,C06976,R0404,,2025-02-19,111.89,1785.26,0.00,367.76,47.43,1897.15,
O0003124,C02620,R0626,,2025-05-28,144.85,3186.73,0.00,949.65,83.29,3331.58,1.94
O0003125,C08020,R0306,,2025-02-20,130.11,3570.19,0.00,1124.61,92.51,3700.30,4.90
O0003126,C09981,R0834,,2025-02-19,149.97,4682.44,0.00,1147.20,120.81,4832.41,1.63
O0003127,C00052,R0351,CP004,2025-09-29,47.54,4014.96,2007.48,1164.34,51.38,2055.02,
O0003128,C01000,R0174,CP093,2025-06-10,94.75,3112.14,933.64,989.66,56.83,2273.25,3.84
O0003129,C03920,R0478,,2025-02-10,40.31,2237.66,0.00,510.19,56.95,2277.97,
O0003130,C03401,R0198,,2024-12-13,139.91,2115.72,0.00,689.72,56.39,2255.63,3.39
O0003131,C03079,R0240,,2025-08-23,65.16,387.92,0.00,115.21,11.33,453.08,4.87
O0003132,C07479,R0533,,2024-12-17,44.78,1179.15,0.00,364.36,30.60,1223.93,2.23
O0003133,C07725,R0272,,2025-04-03,74.75,5463.81,0.00,1639.14,138.46,5538.56,2.98
O0003134,C01651,R0164,,2025-09-16,147.94,3031.87,0.00,791.32,79.50,3179.81,3.29
O0003135,C04202,R0660,,2025-10-10,43.09,4652.68,0.00,991.02,117.39,4695.77,1.41
O0003136,C08559,R0766,,2025-10-10,42.29,2162.81,0.00,579.63,55.13,2205.10,1.26
O0003137,C05846,R0452,,2025-01-18,90.24,2813.81,0.00,846.96,72.60,2904.05,1.71
O0003138,C00671,R0734,CP084,2024-12-04,44.84,1633.11,81.66,467.07,39.91,1596.29,
O0003139,C03649,R0606,,2025-06-04,114.52,1967.31,0.00,397.40,52.05,2081.83,1.38
O0003140,C05248,R0539,,2025-09-25,101.24,3146.06,0.00,862.02,81.18,3247.30,3.20
O0003141,C03004,R0427,,2025-05-13,103.85,5631.93,0.00,1971.18,143.39,5735.78,4.88
O0003142,C05994,R0248,CP067,2025-01-17,120.69,776.74,233.02,242.34,16.61,664.41,3.05
O0003143,C08965,R0951,,2024-12-20,89.08,5978.73,0.00,2026.79,151.70,6067.81,4.30
O0003144,C05225,R0921,,2025-05-21,111.94,664.14,0.00,158.07,19.40,776.08,3.30
O0003145,C05841,R0878,,2024-11-14,116.32,823.52,0.00,222.35,23.50,939.84,1.64
O0003146,C08484,R0333,,2025-05-02,87.02,6995.53,0.00,2063.68,177.06,7082.55,3.70
O0003147,C01956,R0027,,2025-05-05,102.97,2081.70,0.00,653.65,54.62,2184.67,
O0003148,C06574,R0922,,2024-12-13,133.24,3170.68,0.00,1103.40,82.60,3303.92,
O0003149,C01790,R0643,,2024-12-14,132.69,4537.84,0.00,1561.02,116.76,4670.53,2.44
O0003150,C03734,R0450,,2025-01-28,103.01,3013.68,0.00,647.94,77.92,3116.69,4.57
O0003151,C04616,R0034,,2024-11-15,143.56,3580.25,0.00,1213.70,93.10,3723.81,
O0003152,C04173,R0359,,2025-09-20,46.61,4330.35,0.00,1446.34,109.42,4376.96,1.27
O0003153,C04184,R0629,,2025-03-31,43.85,917.34,0.00,275.20,24.03,961.19,4.92
O0003154,C02488,R0310,,2025-01-11,59.64,1729.02,0.00,496.23,44.72,1788.66,3.95
O0003155,C04278,R0979,,2024-12-03,141.98,1294.77,0.00,266.72,35.92,1436.75,4.78
O0003156,C07193,R0085,,2025-08-24,36.46,602.04,0.00,160.14,15.96,638.50,
O0003157,C08453,R0848,CP042,2025-07-28,78.81,2241.41,672.42,567.08,41.20,1647.80,1.28
O0003158,C07692,R0861,,2025-09-10,55.07,3186.62,0.00,732.92,81.04,3241.69,
O0003159,C09648,R0251,,2024-11-27,63.57,2482.91,0.00,662.94,63.66,2546.48,1.28
O0003160,C04985,R0040,,2025-02-02,87.20,4239.94,0.00,1030.31,108.18,4327.14,3.61
O0003161,C03318,R0247,,2025-04-19,65.08,2245.31,0.00,464.78,57.76,2310.39,4.32
O0003162,C00831,R0153,,2025-06-27,80.52,641.52,0.00,204.00,18.05,722.04,3.60
O0003163,C07607,R0830,,2025-03-25,94.19,3516.18,0.00,815.75,90.26,3610.37,
O0003164,C07998,R0352,,2025-04-20,95.37,1800.14,0.00,561.64,47.39,1895.51,3.96
O0003165,C04235,R0274,,2025-08-14,48.24,2149.92,0.00,507.38,54.95,2198.16,1.90
O0003166,C08292,R0577,,2024-12-26,41.92,1920.84,0.00,403.38,49.07,1962.76,2.07
O0003167,C05201,R0982,,2025-04-21,53.28,3486.09,0.00,815.75,88.48,3539.37,2.86
O0003168,C03880,R0912,CP080,2025-06-20,39.99,1828.06,182.81,553.90,42.13,1685.24,2.24
O0003169,C02567,R0124,,2025-08-26,131.03,3057.46,0.00,877.49,79.71,3188.49,1.92
O0003170,C01543,R0062,CP022,2024-11-16,91.65,316.71,31.67,66.83,9.42,376.69,2.99
O0003171,C01080,R0297,,2025-07-16,89.38,2442.47,0.00,837.77,63.30,2531.85,
O0003172,C06764,R0687,,2025-10-29,118.87,2846.99,0.00,979.36,74.15,2965.86,1.67
O0003173,C03574,R0766,,2025-05-15,118.91,3720.43,0.00,997.08,95.98,3839.34,2.39
O0003174,C08809,R0393,,2025-08-25,77.40,916.10,0.00,295.90,24.84,993.50,4.16
O0003175,C00029,R0242,,2025-01-13,85.56,2307.48,0.00,486.88,59.83,2393.04,
O0003176,C06131,R0204,,2025-08-26,92.47,1064.59,0.00,279.99,28.93,1157.06,3.65
O0003177,C07416,R0963,CP030,2025-01-21,57.36,444.61,0.00,105.37,12.55,501.97,1.77
O0003178,C08633,R0269,,2025-08-09,134.82,530.28,0.00,120.37,16.63,665.10,3.99
O0003179,C04031,R0299,,2025-03-04,125.29,469.60,0.00,156.85,14.87,594.89,4.47
O0003180,C01090,R0358,,2024-11-17,65.60,4635.73,0.00,1237.74,117.53,4701.33,1.73
O0003181,C07646,R0991,,2025-06-09,63.38,2756.46,0.00,622.96,70.50,2819.84,3.95
O0003182,C01625,R0638,,2024-11-06,105.20,4119.94,0.00,922.87,105.63,4225.14,2.96
O0003183,C02140,R0809,CP005,2024-12-30,45.69,3594.03,898.51,855.38,68.53,2741.21,3.37
O0003184,C02905,R0443,CP080,2025-03-13,87.70,1411.14,141.11,348.55,33.94,1357.73,
O0003185,C01998,R0301,,2025-09-30,83.89,4343.03,0.00,881.64,110.67,4426.92,2.91
O0003186,C09948,R0908,,2025-02-06,68.80,4691.12,0.00,942.92,119.00,4759.92,
O0003187,C05745,R0361,,2025-10-25,56.13,286.99,0.00,98.72,8.58,343.12,4.48
O0003188,C02476,R0073,,2025-01-08,89.05,897.02,0.00,195.55,24.65,986.07,
O0003189,C09140,R0449,,2025-03-16,143.60,772.98,0.00,172.37,22.91,916.58,
O0003190,C06853,R0196,,2025-04-29,87.01,2724.65,0.00,637.57,70.29,2811.66,2.91
O0003191,C01923,R0774,CP003,2025-01-17,39.84,2748.09,687.02,821.68,52.52,2100.91,1.54
O0003192,C06270,R0724,,2025-10-17,99.57,4306.71,0.00,973.32,110.16,4406.28,4.75
O0003193,C03094,R0235,,2025-07-09,131.68,4575.45,0.00,1413.81,117.68,4707.13,4.27
O0003194,C02962,R0844,,2024-11-22,32.15,1595.01,0.00,430.65,40.68,1627.16,4.85
O0003195,C09866,R0848,,2025-04-01,120.11,1591.46,0.00,402.64,42.79,1711.57,4.52
O0003196,C06896,R0273,CP013,2025-03-28,69.78,3526.29,705.26,1004.99,72.27,2890.81,1.70
O0003197,C06181,R0652,,2024-12-30,56.59,4713.33,0.00,1107.63,119.25,4769.92,3.08
O0003198,C03779,R0959,,2025-02-22,32.85,1440.65,0.00,381.77,36.84,1473.50,3.39
O0003199,C05681,R0726,,2025-05-16,30.28,1215.60,0.00,410.87,31.15,1245.88,4.02
O0003200,C07532,R0382,CP029,2024-11-25,65.56,606.91,60.69,175.40,15.29,611.78,
O0003201,C00778,R0436,,2025-01-27,75.89,471.98,0.00,118.00,13.70,547.87,2.94
O0003202,C01848,R0438,,2025-01-11,46.38,1888.02,0.00,539.97,48.36,1934.40,4.36
O0003203,C04228,R0129,CP098,2025-07-02,55.17,5235.90,1308.97,1267.09,99.55,3982.10,1.55
O0003204,C07739,R0467,CP064,2025-01-15,84.45,5067.51,2533.76,1768.56,65.46,2618.20,1.75
O0003205,C02532,R0157,,2025-03-11,104.03,1958.40,0.00,538.56,51.56,2062.43,4.67
O0003206,C09714,R0846,,2025-07-14,93.70,2004.27,0.00,647.38,52.45,2097.97,4.10
O0003207,C08761,R0592,,2025-08-08,56.88,1642.32,0.00,514.05,42.48,1699.20,3.09
O0003208,C04138,R0370,,2025-04-20,30.21,5324.02,0.00,1858.08,133.86,5354.23,2.80
O0003209,C09680,R0895,,2024-11-10,137.19,3523.76,0.00,898.56,91.52,3660.95,4.45
O0003210,C00296,R0835,,2025-10-05,124.19,2800.71,0.00,588.15,73.12,2924.90,
O0003211,C08795,R0695,CP064,2025-04-21,118.57,2267.26,1133.63,652.97,31.31,1252.20,3.79
O0003212,C00784,R0271,,2024-11-27,32.71,2800.95,0.00,904.71,70.84,2833.66,1.63
O0003213,C05926,R0861,,2025-09-24,90.97,1227.82,0.00,282.40,32.97,1318.79,4.25
O0003214,C03646,R0291,,2025-02-04,33.07,3653.62,0.00,1245.88,92.17,3686.69,4.55
O0003215,C04326,R0148,CP095,2025-06-22,46.03,2452.90,1226.45,647.57,31.81,1272.48,2.40
O0003216,C09422,R0690,,2025-05-25,63.23,562.62,0.00,117.02,15.65,625.85,4.29
O0003217,C00588,R0116,,2025-02-20,115.31,4892.63,0.00,1389.51,125.20,5007.94,3.75
O0003218,C08122,R0579,,2025-06-05,127.13,4637.01,0.00,1112.88,119.10,4764.14,4.85
O0003219,C02398,R0611,,2025-01-02,75.76,3421.68,0.00,958.07,87.44,3497.44,3.02
O0003220,C07293,R0988,,2024-12-26,35.26,2352.16,0.00,752.69,59.69,2387.42,1.93
O0003221,C02455,R0893,,2025-06-01,135.61,5784.45,0.00,2007.20,148.00,5920.06,1.85
O0003222,C03812,R0635,CP067,2025-03-04,51.32,5551.24,1665.37,1360.05,98.43,3937.19,4.86
O0003223,C09062,R0462,CP092,2024-11-23,54.40,3067.31,1533.65,843.51,39.70,1588.06,1.74
O0003224,C09699,R0859,,2024-12-14,113.11,2143.78,0.00,469.49,56.42,2256.89,
O0003225,C08737,R0167,,2025-07-24,108.05,4703.83,0.00,1481.71,120.30,4811.88,
O0003226,C03082,R0057,CP016,2024-11-26,32.54,3173.23,317.32,799.65,72.21,2888.45,
O0003227,C05897,R0429,,2025-04-09,124.69,1423.42,0.00,358.70,38.70,1548.11,3.43
O0003228,C01265,R0795,,2025-05-21,71.01,364.46,0.00,99.50,10.89,435.47,3.94
O0003229,C01595,R0358,,2025-05-27,100.78,4963.00,0.00,1325.12,126.59,5063.78,1.19
O0003230,C03595,R0664,,2024-11-07,86.59,3832.22,0.00,835.42,97.97,3918.81,4.14
O0003231,C00777,R0895,,2025-06-29,93.21,3073.21,0.00,783.67,79.16,3166.42,2.71
O0003232,C01380,R0895,,2025-08-07,137.75,454.55,0.00,115.91,14.81,592.30,
O0003233,C02527,R0640,,2025-01-05,128.97,4417.91,0.00,1488.84,113.67,4546.88,
O0003234,C09068,R0573,,2025-08-09,123.87,1269.20,0.00,333.80,34.83,1393.07,3.88
O0003235,C07696,R0495,,2025-10-29,72.03,2219.70,0.00,554.92,57.29,2291.73,2.80
O0003236,C06702,R0362,,2025-03-05,60.92,3025.55,0.00,738.23,77.16,3086.47,1.69
O0003237,C03003,R0896,,2025-03-24,60.95,1381.91,0.00,483.67,36.07,1442.86,
O0003238,C06184,R0688,,2024-11-15,76.03,1952.54,0.00,466.66,50.71,2028.57,4.66
O0003239,C02540,R0602,CP070,2024-12-26,40.32,3485.80,697.16,829.62,70.72,2828.96,1.44
O0003240,C00854,R0467,CP001,2025-10-17,117.36,3170.91,158.55,1106.65,78.24,3129.72,3.42
O0003241,C07881,R0765,,2024-12-11,51.41,1937.33,0.00,507.58,49.72,1988.74,2.86
O0003242,C08177,R0209,,2025-07-24,80.08,2134.06,0.00,734.12,55.35,2214.14,3.40
O0003243,C00783,R0372,,2025-01-30,143.09,2130.78,0.00,479.43,56.85,2273.87,1.03
O0003244,C09538,R0907,,2024-11-03,64.24,4486.13,0.00,933.12,113.76,4550.37,1.49
O0003245,C03248,R0072,CP089,2025-03-29,88.85,5595.32,2797.66,1549.90,72.16,2886.51,1.66
O0003246,C06392,R0916,,2024-11-02,129.71,4338.50,0.00,919.76,111.71,4468.21,
O0003247,C04999,R0881,,2025-06-07,48.52,2393.19,0.00,583.94,61.04,2441.71,3.52
O0003248,C08797,R0676,,2024-11-23,130.20,549.20,0.00,182.33,16.98,679.40,3.00
O0003249,C09829,R0094,,2025-09-13,82.61,673.03,0.00,148.07,18.89,755.64,4.47
O0003250,C04346,R0978,,2025-03-31,143.24,3233.99,0.00,1063.98,84.43,3377.23,3.05
O0003251,C01647,R0610,,2025-08-26,103.40,915.30,0.00,229.74,25.47,1018.70,2.54
O0003252,C01075,R0726,,2025-06-09,98.50,314.89,0.00,106.43,10.33,413.39,
O0003253,C03786,R0404,,2024-12-17,138.49,673.36,0.00,138.71,20.30,811.85,2.84
O0003254,C06779,R0319,,2025-09-29,119.62,4559.09,0.00,1148.89,116.97,4678.71,3.08
O0003255,C06734,R0129,,2025-01-27,37.35,3346.25,0.00,809.79,84.59,3383.60,3.85
O0003256,C03695,R0615,,2025-08-23,61.66,1527.24,0.00,415.41,39.72,1588.90,1.49
O0003257,C02147,R0656,,2025-07-03,57.65,1911.83,0.00,472.22,49.24,1969.48,4.70
O0003258,C03400,R0731,,2024-11-14,30.54,1123.43,0.00,353.88,28.85,1153.97,3.02
O0003259,C09443,R0606,,2025-06-07,92.94,1310.36,0.00,264.69,35.08,1403.30,
O0003260,C09854,R0569,CP023,2025-05-31,94.58,3860.45,386.04,1084.79,89.22,3568.99,2.70
O0003261,C00269,R0660,CP054,2024-11-29,132.60,4229.35,2114.68,900.85,56.18,2247.27,
O0003262,C01544,R0432,CP068,2024-11-08,44.87,4010.39,401.04,1183.07,91.36,3654.22,2.33
O0003263,C00352,R0588,,2025-07-10,45.26,1616.99,0.00,391.31,41.56,1662.25,2.54
O0003264,C04834,R0310,,2025-09-17,109.98,1312.62,0.00,376.72,35.56,1422.60,4.11
O0003265,C00541,R0994,,2025-10-20,59.47,3065.30,0.00,751.00,78.12,3124.77,2.75
O0003266,C01294,R0237,,2025-05-05,149.20,6394.43,0.00,1298.07,163.59,6543.63,2.63
O0003267,C05213,R0723,,2025-10-30,40.88,682.29,0.00,157.61,18.08,723.17,4.26
